state,x,y
Abuja,-66.0,-5.0
Abia,-53.0,-153.0
Adamawa,161.0, 21.0
Akwa Ibom,-40.0,-185.0
Anambra,-82.0,-120.0
Bauchi,43.0,69.0
Bayelsa,-135.0,-187.0
Benue,-28.0,-70.0
Borno,185.0,117.0
Cross River,-10.0,-160.0
Delta,-123.0,-153.0
Ebonyi,-37.0,-116.0
Edo,-133.0,-109.0
Ekiti,-156.0,-55.0
Enugu,-57.0,-106.0
Gombe,101.0,65.0
Imo,-73.0,-150.0
Jigawa,26.0,151.0
Kaduna,-48.0,57.0
Kano,-14.0,122.0
Katsina,-56.0,148.0
Kebbi,-200.0,137.0
Kogi,-111.0,-47.0
Kwara,-175.0,-15.0
Lagos,-226.0,-110.0
Nassarawa,-28.0,-21.0
Niger,-141.0,37.0
Ogun,-245.0,-84.0
Ondo,-167.0,-89.0
Osun,-191.0,-64.0
Oyo,-235.0,-40.0
Plateau,30.0,5.0
Rivers,-87.0,-181.0
Sokoto,-146.0,181.0
Taraba,79.0,-48.0
Yobe,113.0,139.0
Zamfara,-105.0,126.0